world_size=1  device=cuda:0  dtype=torch.bfloat16
model: 353.55M non-emb params
iter   2230 | loss 4.4352 | lr 1.51e-04 | 2204 ms | 14.9k tok/s
iter   2240 | loss 4.2185 | lr 1.49e-04 | 2204 ms | 14.9k tok/s
iter   2250 | loss 4.2490 | lr 1.48e-04 | 2204 ms | 14.9k tok/s
iter   2260 | loss 4.2074 | lr 1.47e-04 | 2203 ms | 14.9k tok/s
iter   2270 | loss 4.3204 | lr 1.46e-04 | 2204 ms | 14.9k tok/s
iter   2280 | loss 4.3776 | lr 1.45e-04 | 2203 ms | 14.9k tok/s
iter   2290 | loss 4.2198 | lr 1.44e-04 | 2203 ms | 14.9k tok/s
iter   2300 | loss 4.1498 | lr 1.43e-04 | 2203 ms | 14.9k tok/s
iter   2310 | loss 4.1886 | lr 1.42e-04 | 2203 ms | 14.9k tok/s
iter   2320 | loss 4.2264 | lr 1.41e-04 | 2203 ms | 14.9k tok/s
iter   2330 | loss 4.0943 | lr 1.39e-04 | 2203 ms | 14.9k tok/s
iter   2340 | loss 4.2711 | lr 1.38e-04 | 2203 ms | 14.9k tok/s
iter   2350 | loss 4.2319 | lr 1.37e-04 | 2203 ms | 14.9k tok/s
iter   2360 | loss 4.2268 | lr 1.36e-04 | 2203 ms | 14.9k tok/s
iter   2370 | loss 4.2080 | lr 1.35e-04 | 2203 ms | 14.9k tok/s
iter   2380 | loss 4.2621 | lr 1.34e-04 | 2203 ms | 14.9k tok/s
iter   2390 | loss 4.1891 | lr 1.33e-04 | 2203 ms | 14.9k tok/s
iter   2400 | loss 4.1539 | lr 1.32e-04 | 2203 ms | 14.9k tok/s
           eval | val 4.2440 | ppl 69.69
           best val 4.2440 → saved out/gpt2_350m_fweb_5060ti/ckpt_best.pt
iter   2410 | loss 4.2037 | lr 1.31e-04 | 4269 ms | 7.7k tok/s
iter   2420 | loss 4.1577 | lr 1.30e-04 | 2203 ms | 14.9k tok/s
iter   2430 | loss 4.2057 | lr 1.29e-04 | 2205 ms | 14.9k tok/s
iter   2440 | loss 4.1853 | lr 1.28e-04 | 2205 ms | 14.9k tok/s
iter   2450 | loss 4.2707 | lr 1.26e-04 | 2205 ms | 14.9k tok/s
iter   2460 | loss 4.3004 | lr 1.25e-04 | 2204 ms | 14.9k tok/s
iter   2470 | loss 4.1935 | lr 1.24e-04 | 2204 ms | 14.9k tok/s
