model: 25.73M params (25.70M non-emb)
iter   2120 | loss 0.0867 | lr 4.82e-04 | 348.0 ms/it | 94.2k tok/s
iter   2140 | loss 0.0802 | lr 4.81e-04 | 347.8 ms/it | 94.2k tok/s
iter   2160 | loss 0.0819 | lr 4.81e-04 | 347.7 ms/it | 94.2k tok/s
iter   2180 | loss 0.0769 | lr 4.80e-04 | 347.8 ms/it | 94.2k tok/s
iter   2200 | loss 0.0783 | lr 4.80e-04 | 347.8 ms/it | 94.2k tok/s
iter   2220 | loss 0.0811 | lr 4.80e-04 | 347.7 ms/it | 94.2k tok/s
iter   2240 | loss 0.0809 | lr 4.79e-04 | 347.7 ms/it | 94.2k tok/s
iter   2260 | loss 0.0798 | lr 4.79e-04 | 347.8 ms/it | 94.2k tok/s
iter   2280 | loss 0.0822 | lr 4.78e-04 | 347.9 ms/it | 94.2k tok/s
iter   2300 | loss 0.0764 | lr 4.78e-04 | 347.9 ms/it | 94.2k tok/s
iter   2320 | loss 0.0768 | lr 4.78e-04 | 347.8 ms/it | 94.2k tok/s
iter   2340 | loss 0.0816 | lr 4.77e-04 | 347.7 ms/it | 94.2k tok/s
iter   2360 | loss 0.0792 | lr 4.77e-04 | 347.7 ms/it | 94.2k tok/s
iter   2380 | loss 0.0804 | lr 4.76e-04 | 347.7 ms/it | 94.2k tok/s
iter   2400 | loss 0.0778 | lr 4.76e-04 | 347.9 ms/it | 94.2k tok/s
iter   2420 | loss 0.0784 | lr 4.75e-04 | 347.9 ms/it | 94.2k tok/s
iter   2440 | loss 0.0737 | lr 4.75e-04 | 347.8 ms/it | 94.2k tok/s
iter   2460 | loss 0.0734 | lr 4.75e-04 | 347.8 ms/it | 94.2k tok/s
iter   2480 | loss 0.0735 | lr 4.74e-04 | 347.8 ms/it | 94.2k tok/s
iter   2500 | loss 0.0778 | lr 4.74e-04 | 347.9 ms/it | 94.2k tok/s
           eval | train 0.0750 | val 3.8160
iter   2520 | loss 0.0770 | lr 4.73e-04 | 898.9 ms/it | 36.5k tok/s
iter   2540 | loss 0.0753 | lr 4.73e-04 | 348.0 ms/it | 94.2k tok/s
iter   2560 | loss 0.0726 | lr 4.72e-04 | 348.0 ms/it | 94.2k tok/s
iter   2580 | loss 0.0735 | lr 4.72e-04 | 348.1 ms/it | 94.1k tok/s
iter   2600 | loss 0.0715 | lr 4.71e-04 | 348.1 ms/it | 94.1k tok/s
iter   2620 | loss 0.0700 | lr 4.71e-04 | 348.2 ms/it | 94.1k tok/s
iter   2640 | loss 0.0735 | lr 4.70e-04 | 348.2 ms/it | 94.1k tok/s
iter   2660 | loss 0.0710 | lr 4.70e-04 | 348.2 ms/it | 94.1k tok/s
iter   2680 | loss 0.0704 | lr 4.70e-04 | 348.2 ms/it | 94.1k tok/s
iter   2700 | loss 0.0752 | lr 4.69e-04 | 348.3 ms/it | 94.1k tok/s
iter   2720 | loss 0.0719 | lr 4.69e-04 | 348.2 ms/it | 94.1k tok/s
iter   2740 | loss 0.0714 | lr 4.68e-04 | 348.1 ms/it | 94.1k tok/s
iter   2760 | loss 0.0749 | lr 4.68e-04 | 348.1 ms/it | 94.1k tok/s
iter   2780 | loss 0.0693 | lr 4.67e-04 | 348.2 ms/it | 94.1k tok/s
iter   2800 | loss 0.0715 | lr 4.67e-04 | 348.1 ms/it | 94.1k tok/s
iter   2820 | loss 0.0717 | lr 4.66e-04 | 348.1 ms/it | 94.1k tok/s
iter   2840 | loss 0.0706 | lr 4.66e-04 | 348.1 ms/it | 94.1k tok/s
iter   2860 | loss 0.0647 | lr 4.65e-04 | 348.1 ms/it | 94.1k tok/s
iter   2880 | loss 0.0652 | lr 4.65e-04 | 348.1 ms/it | 94.1k tok/s
iter   2900 | loss 0.0712 | lr 4.64e-04 | 348.1 ms/it | 94.1k tok/s
iter   2920 | loss 0.0671 | lr 4.64e-04 | 348.1 ms/it | 94.1k tok/s
iter   2940 | loss 0.0683 | lr 4.63e-04 | 348.1 ms/it | 94.1k tok/s
iter   2960 | loss 0.0668 | lr 4.62e-04 | 348.1 ms/it | 94.1k tok/s
iter   2980 | loss 0.0688 | lr 4.62e-04 | 348.1 ms/it | 94.1k tok/s
iter   3000 | loss 0.0653 | lr 4.61e-04 | 348.2 ms/it | 94.1k tok/s
           eval | train 0.0670 | val 3.9512
iter   3020 | loss 0.0618 | lr 4.61e-04 | 899.1 ms/it | 36.4k tok/s
iter   3040 | loss 0.0648 | lr 4.60e-04 | 348.2 ms/it | 94.1k tok/s
iter   3060 | loss 0.0653 | lr 4.60e-04 | 348.2 ms/it | 94.1k tok/s
iter   3080 | loss 0.0694 | lr 4.59e-04 | 348.2 ms/it | 94.1k tok/s
iter   3100 | loss 0.0636 | lr 4.59e-04 | 348.0 ms/it | 94.2k tok/s
iter   3120 | loss 0.0645 | lr 4.58e-04 | 348.2 ms/it | 94.1k tok/s
iter   3140 | loss 0.0628 | lr 4.58e-04 | 348.0 ms/it | 94.1k tok/s
iter   3160 | loss 0.0619 | lr 4.57e-04 | 348.2 ms/it | 94.1k tok/s
iter   3180 | loss 0.0665 | lr 4.56e-04 | 348.2 ms/it | 94.1k tok/s
