model: 10.65M params (10.62M non-emb)
iter   1020 | loss 0.5642 | lr 5.54e-04 | 85.2 ms/it | 192.3k tok/s
iter   1030 | loss 0.5766 | lr 5.53e-04 | 85.2 ms/it | 192.4k tok/s
iter   1040 | loss 0.5800 | lr 5.52e-04 | 85.1 ms/it | 192.4k tok/s
iter   1050 | loss 0.5320 | lr 5.51e-04 | 85.2 ms/it | 192.3k tok/s
iter   1060 | loss 0.5272 | lr 5.50e-04 | 85.2 ms/it | 192.3k tok/s
iter   1070 | loss 0.5202 | lr 5.49e-04 | 85.2 ms/it | 192.2k tok/s
iter   1080 | loss 0.5249 | lr 5.48e-04 | 85.2 ms/it | 192.3k tok/s
iter   1090 | loss 0.4446 | lr 5.47e-04 | 85.2 ms/it | 192.4k tok/s
iter   1100 | loss 0.4759 | lr 5.46e-04 | 85.2 ms/it | 192.4k tok/s
iter   1110 | loss 0.4718 | lr 5.45e-04 | 85.2 ms/it | 192.2k tok/s
iter   1120 | loss 0.4216 | lr 5.44e-04 | 85.2 ms/it | 192.3k tok/s
iter   1130 | loss 0.4867 | lr 5.43e-04 | 85.2 ms/it | 192.3k tok/s
iter   1140 | loss 0.4473 | lr 5.42e-04 | 85.2 ms/it | 192.3k tok/s
iter   1150 | loss 0.4642 | lr 5.41e-04 | 85.2 ms/it | 192.4k tok/s
iter   1160 | loss 0.4399 | lr 5.40e-04 | 85.2 ms/it | 192.2k tok/s
iter   1170 | loss 0.4198 | lr 5.39e-04 | 85.3 ms/it | 192.1k tok/s
iter   1180 | loss 0.4260 | lr 5.38e-04 | 85.2 ms/it | 192.2k tok/s
iter   1190 | loss 0.3883 | lr 5.37e-04 | 85.2 ms/it | 192.3k tok/s
iter   1200 | loss 0.4054 | lr 5.36e-04 | 85.2 ms/it | 192.3k tok/s
iter   1210 | loss 0.4024 | lr 5.34e-04 | 85.2 ms/it | 192.3k tok/s
iter   1220 | loss 0.3667 | lr 5.33e-04 | 85.2 ms/it | 192.2k tok/s
