[init] rank=0/1 device=cuda:0 dtype=torch.float32
[mesh] dp=1 tp=1 pp=1
[model] 0.42B params
step    1095 | loss 4.7902 | lr 2.33e-04 | 17614 ms | 0.00M tok/s
step    1100 | loss 5.0693 | lr 2.32e-04 | 17598 ms | 0.00M tok/s
           eval | loss 4.8355
step    1105 | loss 4.9407 | lr 2.32e-04 | 17685 ms | 0.00M tok/s
step    1110 | loss 4.8706 | lr 2.31e-04 | 17612 ms | 0.00M tok/s
step    1115 | loss 4.9167 | lr 2.31e-04 | 17615 ms | 0.00M tok/s
step    1120 | loss 4.7708 | lr 2.30e-04 | 17578 ms | 0.00M tok/s
step    1125 | loss 4.8703 | lr 2.29e-04 | 17659 ms | 0.00M tok/s
step    1130 | loss 4.8330 | lr 2.29e-04 | 17616 ms | 0.00M tok/s
step    1135 | loss 4.8261 | lr 2.28e-04 | 17663 ms | 0.00M tok/s
step    1140 | loss 5.0569 | lr 2.27e-04 | 17657 ms | 0.00M tok/s
step    1145 | loss 4.8382 | lr 2.27e-04 | 17653 ms | 0.00M tok/s
step    1150 | loss 4.8431 | lr 2.26e-04 | 17616 ms | 0.00M tok/s
step    1155 | loss 4.9924 | lr 2.25e-04 | 17615 ms | 0.00M tok/s
step    1160 | loss 4.9918 | lr 2.25e-04 | 17631 ms | 0.00M tok/s
step    1165 | loss 4.8630 | lr 2.24e-04 | 17604 ms | 0.00M tok/s
step    1170 | loss 4.8668 | lr 2.23e-04 | 17612 ms | 0.00M tok/s
step    1175 | loss 4.7700 | lr 2.23e-04 | 17583 ms | 0.00M tok/s
step    1180 | loss 4.9295 | lr 2.22e-04 | 17594 ms | 0.00M tok/s
step    1185 | loss 4.9136 | lr 2.21e-04 | 17640 ms | 0.00M tok/s
step    1190 | loss 4.7183 | lr 2.21e-04 | 17638 ms | 0.00M tok/s
step    1195 | loss 4.7748 | lr 2.20e-04 | 17657 ms | 0.00M tok/s
step    1200 | loss 4.6775 | lr 2.19e-04 | 17640 ms | 0.00M tok/s
           eval | loss 5.0925
step    1205 | loss 4.8391 | lr 2.19e-04 | 17710 ms | 0.00M tok/s
step    1210 | loss 4.7173 | lr 2.18e-04 | 17637 ms | 0.00M tok/s
step    1215 | loss 4.9217 | lr 2.17e-04 | 17630 ms | 0.00M tok/s
step    1220 | loss 4.9378 | lr 2.16e-04 | 17640 ms | 0.00M tok/s
step    1225 | loss 4.8731 | lr 2.16e-04 | 17670 ms | 0.00M tok/s
step    1230 | loss 4.8700 | lr 2.15e-04 | 17608 ms | 0.00M tok/s
step    1235 | loss 4.8214 | lr 2.14e-04 | 17644 ms | 0.00M tok/s
step    1240 | loss 4.8204 | lr 2.14e-04 | 17651 ms | 0.00M tok/s
step    1245 | loss 4.7289 | lr 2.13e-04 | 17570 ms | 0.00M tok/s
step    1250 | loss 4.9760 | lr 2.12e-04 | 17598 ms | 0.00M tok/s
step    1255 | loss 4.6728 | lr 2.12e-04 | 17607 ms | 0.00M tok/s
step    1260 | loss 4.8588 | lr 2.11e-04 | 17597 ms | 0.00M tok/s
step    1265 | loss 4.8760 | lr 2.10e-04 | 17570 ms | 0.00M tok/s
step    1270 | loss 4.7591 | lr 2.10e-04 | 17648 ms | 0.00M tok/s
step    1275 | loss 4.6782 | lr 2.09e-04 | 17610 ms | 0.00M tok/s
step    1280 | loss 4.8053 | lr 2.08e-04 | 17652 ms | 0.00M tok/s
step    1285 | loss 4.7193 | lr 2.07e-04 | 17545 ms | 0.00M tok/s
step    1290 | loss 4.6713 | lr 2.07e-04 | 17554 ms | 0.00M tok/s
step    1295 | loss 4.7066 | lr 2.06e-04 | 17527 ms | 0.00M tok/s
step    1300 | loss 4.7171 | lr 2.05e-04 | 17530 ms | 0.00M tok/s
           eval | loss 4.1999
           best val 4.1999 → out/gpt_416m_fweb_p100/gpt_416m_fweb_p100/ckpts/step_000001300
step    1305 | loss 4.7818 | lr 2.05e-04 | 20543 ms | 0.00M tok/s
step    1310 | loss 4.5878 | lr 2.04e-04 | 17425 ms | 0.00M tok/s
step    1315 | loss 4.8594 | lr 2.03e-04 | 17480 ms | 0.00M tok/s
step    1320 | loss 4.7394 | lr 2.02e-04 | 17451 ms | 0.00M tok/s
step    1325 | loss 4.9768 | lr 2.02e-04 | 17537 ms | 0.00M tok/s
step    1330 | loss 4.7141 | lr 2.01e-04 | 17506 ms | 0.00M tok/s
step    1335 | loss 4.8105 | lr 2.00e-04 | 17533 ms | 0.00M tok/s
step    1340 | loss 4.7504 | lr 2.00e-04 | 17566 ms | 0.00M tok/s
step    1345 | loss 4.6615 | lr 1.99e-04 | 17527 ms | 0.00M tok/s
step    1350 | loss 4.7267 | lr 1.98e-04 | 17561 ms | 0.00M tok/s
step    1355 | loss 4.6430 | lr 1.97e-04 | 17529 ms | 0.00M tok/s
step    1360 | loss 4.5109 | lr 1.97e-04 | 17491 ms | 0.00M tok/s
step    1365 | loss 4.7557 | lr 1.96e-04 | 17502 ms | 0.00M tok/s
step    1370 | loss 4.7381 | lr 1.95e-04 | 17494 ms | 0.00M tok/s
step    1375 | loss 4.7900 | lr 1.95e-04 | 17481 ms | 0.00M tok/s
step    1380 | loss 4.6778 | lr 1.94e-04 | 17407 ms | 0.00M tok/s
step    1385 | loss 4.5606 | lr 1.93e-04 | 17494 ms | 0.00M tok/s
step    1390 | loss 4.8179 | lr 1.92e-04 | 17512 ms | 0.00M tok/s
step    1395 | loss 4.4411 | lr 1.92e-04 | 17688 ms | 0.00M tok/s
step    1400 | loss 4.6019 | lr 1.91e-04 | 17648 ms | 0.00M tok/s
           eval | loss 4.5776
step    1405 | loss 5.0627 | lr 1.90e-04 | 17594 ms | 0.00M tok/s
step    1410 | loss 4.6379 | lr 1.89e-04 | 17562 ms | 0.00M tok/s
step    1415 | loss 4.5988 | lr 1.89e-04 | 17540 ms | 0.00M tok/s
step    1420 | loss 4.5894 | lr 1.88e-04 | 17530 ms | 0.00M tok/s
step    1425 | loss 4.5993 | lr 1.87e-04 | 17486 ms | 0.00M tok/s
step    1430 | loss 4.7204 | lr 1.86e-04 | 17466 ms | 0.00M tok/s
step    1435 | loss 4.7232 | lr 1.86e-04 | 17453 ms | 0.00M tok/s
step    1440 | loss 4.5979 | lr 1.85e-04 | 17504 ms | 0.00M tok/s
step    1445 | loss 4.7528 | lr 1.84e-04 | 17462 ms | 0.00M tok/s
step    1450 | loss 4.5393 | lr 1.84e-04 | 17465 ms | 0.00M tok/s
step    1455 | loss 4.4756 | lr 1.83e-04 | 17497 ms | 0.00M tok/s
step    1460 | loss 4.7525 | lr 1.82e-04 | 17479 ms | 0.00M tok/s
step    1465 | loss 4.4258 | lr 1.81e-04 | 17519 ms | 0.00M tok/s
step    1470 | loss 4.7897 | lr 1.81e-04 | 17522 ms | 0.00M tok/s
step    1475 | loss 4.7859 | lr 1.80e-04 | 17541 ms | 0.00M tok/s
step    1480 | loss 4.5742 | lr 1.79e-04 | 17489 ms | 0.00M tok/s
step    1485 | loss 4.7545 | lr 1.78e-04 | 17548 ms | 0.00M tok/s
step    1490 | loss 4.7640 | lr 1.78e-04 | 17515 ms | 0.00M tok/s
step    1495 | loss 4.8390 | lr 1.77e-04 | 17478 ms | 0.00M tok/s
